,segmentation,area,iscrowd,image_id,bbox,category_id,id,ignore
0,"[[155, 96, 155, 270, 351, 270, 351, 96]]",34104,0,12,"[155, 96, 196, 174]",7,1,0
1,"[[184, 61, 184, 199, 279, 199, 279, 61]]",13110,0,17,"[184, 61, 95, 138]",15,2,0
2,"[[89, 77, 89, 336, 403, 336, 403, 77]]",81326,0,17,"[89, 77, 314, 259]",13,3,0
3,"[[8, 229, 8, 500, 245, 500, 245, 229]]",64227,0,23,"[8, 229, 237, 271]",2,4,0
4,"[[229, 219, 229, 500, 334, 500, 334, 219]]",29505,0,23,"[229, 219, 105, 281]",2,5,0
5,"[[1, 177, 1, 500, 90, 500, 90, 177]]",28747,0,23,"[1, 177, 89, 323]",2,6,1
6,"[[1, 0, 1, 369, 117, 369, 117, 0]]",42804,0,23,"[1, 0, 116, 369]",15,7,0
7,"[[2, 1, 2, 462, 243, 462, 243, 1]]",111101,0,23,"[2, 1, 241, 461]",15,8,0
8,"[[224, 0, 224, 486, 334, 486, 334, 0]]",53460,0,23,"[224, 0, 110, 486]",15,9,0
9,"[[89, 124, 89, 212, 337, 212, 337, 124]]",21824,0,26,"[89, 124, 248, 88]",7,10,0
10,"[[103, 77, 103, 183, 375, 183, 375, 77]]",28832,0,32,"[103, 77, 272, 106]",1,11,0
11,"[[132, 87, 132, 123, 197, 123, 197, 87]]",2340,0,32,"[132, 87, 65, 36]",1,12,0
12,"[[194, 179, 194, 229, 213, 229, 213, 179]]",950,0,32,"[194, 179, 19, 50]",15,13,0
13,"[[25, 188, 25, 238, 44, 238, 44, 188]]",950,0,32,"[25, 188, 19, 50]",15,14,0
14,"[[8, 106, 8, 263, 499, 263, 499, 106]]",77087,0,33,"[8, 106, 491, 157]",1,15,0
15,"[[420, 199, 420, 226, 482, 226, 482, 199]]",1674,0,33,"[420, 199, 62, 27]",1,16,0
16,"[[324, 187, 324, 223, 411, 223, 411, 187]]",3132,0,33,"[324, 187, 87, 36]",1,17,0
17,"[[115, 166, 115, 400, 360, 400, 360, 166]]",57330,0,34,"[115, 166, 245, 234]",19,18,0
18,"[[140, 152, 140, 229, 333, 229, 333, 152]]",14861,0,34,"[140, 152, 193, 77]",19,19,0
19,"[[0, 95, 0, 361, 191, 361, 191, 95]]",50806,0,35,"[0, 95, 191, 266]",15,20,0
20,"[[217, 97, 217, 318, 465, 318, 465, 97]]",54808,0,35,"[217, 97, 248, 221]",15,21,0
21,"[[467, 194, 467, 317, 500, 317, 500, 194]]",4059,0,35,"[467, 194, 33, 123]",15,22,1
22,"[[2, 303, 2, 375, 500, 375, 500, 303]]",35856,0,35,"[2, 303, 498, 72]",11,23,1
23,"[[26, 78, 26, 344, 319, 344, 319, 78]]",77938,0,36,"[26, 78, 293, 266]",12,24,0
24,"[[262, 31, 262, 295, 500, 295, 500, 31]]",62832,0,42,"[262, 31, 238, 264]",19,25,0
25,"[[0, 35, 0, 299, 235, 299, 235, 35]]",62040,0,42,"[0, 35, 235, 264]",19,26,0
26,"[[0, 0, 0, 330, 370, 330, 370, 0]]",122100,0,44,"[0, 0, 370, 330]",9,27,0
27,"[[98, 100, 98, 213, 312, 213, 312, 100]]",24182,0,44,"[98, 100, 214, 113]",8,28,0
28,"[[14, 0, 14, 312, 459, 312, 459, 0]]",138840,0,47,"[14, 0, 445, 312]",7,29,0
29,"[[438, 169, 438, 230, 487, 230, 487, 169]]",2989,0,47,"[438, 169, 49, 61]",9,30,0
30,"[[57, 106, 57, 465, 291, 465, 291, 106]]",84006,0,48,"[57, 106, 234, 359]",3,31,0
31,"[[1, 0, 1, 500, 302, 500, 302, 0]]",150500,0,48,"[1, 0, 301, 500]",15,32,0
32,"[[273, 10, 273, 279, 437, 279, 437, 10]]",44116,0,61,"[273, 10, 164, 269]",4,33,0
33,"[[183, 213, 183, 252, 281, 252, 281, 213]]",3822,0,61,"[183, 213, 98, 39]",4,34,0
34,"[[0, 22, 0, 500, 451, 500, 451, 22]]",215578,0,64,"[0, 22, 451, 478]",3,35,0
35,"[[208, 186, 208, 230, 228, 230, 228, 186]]",880,0,66,"[208, 186, 20, 44]",15,36,0
36,"[[241, 181, 241, 259, 274, 259, 274, 181]]",2574,0,66,"[241, 181, 33, 78]",15,37,0
